Element_Code,Element_Number,Date,Warehouse_Code,Item_Code,Amount
SO002-1,SO002,2025-01-01,WH004,Item007,950
SO003-1,SO003,2025-01-01,WH001,Item012,920
SO004-1,SO004,2025-01-01,WH001,Item007,310
SO005-1,SO005,2025-01-01,WH002,Item011,160
SO006-1,SO006,2025-01-01,WH001,Item002,470
SO007-1,SO007,2025-01-01,WH001,Item010,20
SO007-2,SO007,2025-01-01,WH002,Item011,280
SO008-1,SO008,2025-01-01,WH001,Item004,340
SO009-1,SO009,2025-01-01,WH002,Item014,890
SO010-1,SO010,2025-01-04,WH001,Item003,550
SO011-1,SO011,2025-01-07,WH001,Item004,60
SO012-1,SO012,2025-01-09,WH004,Item004,890
SO013-1,SO013,2025-01-09,WH002,Item007,850
SO014-1,SO014,2025-01-09,WH003,Item005,720
SO015-1,SO015,2025-01-09,WH003,Item006,510
SO016-1,SO016,2025-01-10,WH002,Item003,310
SO016-2,SO016,2025-01-10,WH001,Item001,540
SO017-1,SO017,2025-01-11,WH003,Item002,30
SO018-1,SO018,2025-01-13,WH002,Item001,880
SO019-1,SO019,2025-01-13,WH001,Item012,610
SO019-2,SO019,2025-01-13,WH003,Item004,170
SO020-1,SO020,2025-01-13,WH003,Item002,220
SO020-2,SO020,2025-01-14,WH001,Item010,680
SO021-1,SO021,2025-01-14,WH002,Item001,660
SO021-2,SO021,2025-01-14,WH002,Item013,480
SO022-1,SO022,2025-01-14,WH001,Item007,830
SO023-1,SO023,2025-01-16,WH003,Item003,590
SO024-1,SO024,2025-01-16,WH002,Item006,370
SO024-2,SO024,2025-01-18,WH002,Item001,840
SO025-1,SO025,2025-01-21,WH001,Item014,1000
SO026-1,SO026,2025-01-24,WH002,Item007,390
SO027-1,SO027,2025-01-27,WH003,Item002,530
SO028-1,SO028,2025-01-29,WH004,Item010,390
SO029-1,SO029,2025-01-30,WH004,Item015,290
SO030-1,SO030,2025-02-01,WH003,Item013,640
SO031-1,SO031,2025-02-01,WH001,Item012,340
SO032-1,SO032,2025-02-01,WH004,Item001,80
SO033-1,SO033,2025-02-02,WH001,Item013,320
SO034-1,SO034,2025-02-04,WH003,Item004,590
SO035-1,SO035,2025-02-04,WH002,Item001,190
SO036-1,SO036,2025-02-05,WH004,Item011,570
SO037-1,SO037,2025-02-05,WH002,Item013,490
SO037-2,SO037,2025-02-05,WH001,Item013,590
SO038-1,SO038,2025-02-06,WH004,Item004,230
SO039-1,SO039,2025-02-08,WH004,Item002,640
SO040-1,SO040,2025-02-08,WH004,Item001,440
SO041-1,SO041,2025-02-08,WH004,Item013,650
SO041-2,SO041,2025-02-08,WH002,Item001,190
SO042-1,SO042,2025-02-11,WH002,Item002,280
SO043-1,SO043,2025-02-11,WH002,Item015,160
SO044-1,SO044,2025-02-11,WH004,Item004,580
SO045-1,SO045,2025-02-13,WH004,Item015,850
SO046-1,SO046,2025-02-13,WH001,Item012,910
SO047-1,SO047,2025-02-15,WH004,Item011,570
SO048-1,SO048,2025-02-15,WH002,Item011,780
SO049-1,SO049,2025-02-15,WH001,Item009,750
SO050-1,SO050,2025-02-16,WH001,Item011,290
SO051-1,SO051,2025-02-16,WH002,Item005,40
SO052-1,SO052,2025-02-16,WH003,Item007,570
SO053-1,SO053,2025-02-16,WH004,Item007,170
SO054-1,SO054,2025-02-18,WH001,Item009,620
SO055-1,SO055,2025-02-18,WH001,Item001,280
SO056-1,SO056,2025-02-19,WH001,Item010,30
SO057-1,SO057,2025-02-19,WH002,Item002,240
SO058-1,SO058,2025-02-19,WH002,Item005,190
SO058-2,SO058,2025-02-20,WH001,Item002,450
SO059-1,SO059,2025-02-21,WH002,Item011,930
SO060-1,SO060,2025-02-21,WH003,Item001,20
SO061-1,SO061,2025-02-21,WH002,Item006,740
SO062-1,SO062,2025-02-21,WH002,Item008,280
SO063-1,SO063,2025-02-23,WH004,Item015,380
SO063-2,SO063,2025-02-23,WH001,Item009,220
SO064-1,SO064,2025-02-23,WH001,Item007,710
SO065-1,SO065,2025-02-23,WH004,Item009,600
SO066-1,SO066,2025-02-23,WH002,Item005,250
SO067-1,SO067,2025-02-23,WH002,Item015,690
SO068-1,SO068,2025-02-23,WH001,Item004,60
SO069-1,SO069,2025-02-24,WH002,Item007,260
SO070-1,SO070,2025-02-26,WH001,Item003,900
SO071-1,SO071,2025-02-26,WH002,Item007,880
SO072-1,SO072,2025-02-28,WH001,Item010,590
SO073-1,SO073,2025-03-01,WH003,Item006,630
SO074-1,SO074,2025-03-02,WH002,Item004,270
SO074-2,SO074,2025-03-02,WH001,Item012,200
SO075-1,SO075,2025-03-02,WH001,Item001,240
SO076-1,SO076,2025-03-04,WH002,Item015,730
SO077-1,SO077,2025-03-04,WH002,Item004,110
SO078-1,SO078,2025-03-04,WH003,Item005,530
SO079-1,SO079,2025-03-04,WH001,Item004,760
SO080-1,SO080,2025-03-05,WH003,Item001,730
SO081-1,SO081,2025-03-05,WH004,Item002,380
SO082-1,SO082,2025-03-05,WH004,Item007,630
SO083-1,SO083,2025-03-05,WH004,Item005,650
SO084-1,SO084,2025-03-05,WH001,Item012,960
SO085-1,SO085,2025-03-06,WH003,Item006,580
SO086-1,SO086,2025-03-09,WH001,Item002,900
SO087-1,SO087,2025-03-10,WH003,Item011,150
SO088-1,SO088,2025-03-10,WH003,Item013,560
SO089-1,SO089,2025-03-10,WH001,Item011,170
SO089-2,SO089,2025-03-13,WH001,Item014,70
