Element_Code,Element_Number,Date,Warehouse_Code,Item_Code,Amount
SO002-1,SO002,2025-01-03,WH002,Item001,490
SO003-1,SO003,2025-01-03,WH001,Item003,170
SO004-1,SO004,2025-01-04,WH001,Item013,160
SO005-1,SO005,2025-01-04,WH003,Item001,520
SO005-2,SO005,2025-01-04,WH002,Item001,870
SO006-1,SO006,2025-01-04,WH001,Item001,50
SO007-1,SO007,2025-01-07,WH003,Item013,750
SO008-1,SO008,2025-01-10,WH001,Item009,450
SO009-1,SO009,2025-01-10,WH001,Item001,650
SO009-2,SO009,2025-01-11,WH002,Item014,670
SO010-1,SO010,2025-01-11,WH002,Item004,610
SO011-1,SO011,2025-01-11,WH002,Item013,500
SO011-2,SO011,2025-01-11,WH003,Item007,460
SO012-1,SO012,2025-01-11,WH001,Item010,610
SO013-1,SO013,2025-01-11,WH003,Item006,640
SO014-1,SO014,2025-01-11,WH003,Item011,170
SO014-2,SO014,2025-01-13,WH003,Item012,130
SO015-1,SO015,2025-01-14,WH002,Item002,470
SO016-1,SO016,2025-01-14,WH002,Item002,890
SO017-1,SO017,2025-01-14,WH002,Item007,320
SO018-1,SO018,2025-01-15,WH001,Item002,120
SO019-1,SO019,2025-01-15,WH003,Item004,930
SO020-1,SO020,2025-01-15,WH003,Item006,610
SO021-1,SO021,2025-01-17,WH002,Item003,830
SO022-1,SO022,2025-01-17,WH003,Item002,380
SO023-1,SO023,2025-01-20,WH002,Item002,150
SO024-1,SO024,2025-01-21,WH002,Item001,770
SO025-1,SO025,2025-01-23,WH001,Item001,740
SO025-2,SO025,2025-01-25,WH002,Item013,20
SO026-1,SO026,2025-01-27,WH001,Item013,300
SO027-1,SO027,2025-01-27,WH001,Item013,710
SO028-1,SO028,2025-01-27,WH003,Item006,400
SO029-1,SO029,2025-01-27,WH001,Item013,290
SO029-2,SO029,2025-01-30,WH001,Item009,460
SO029-3,SO029,2025-01-30,WH001,Item001,620
SO030-1,SO030,2025-01-30,WH001,Item010,180
SO031-1,SO031,2025-01-30,WH003,Item008,40
SO032-1,SO032,2025-02-02,WH001,Item001,850
SO033-1,SO033,2025-02-04,WH001,Item013,350
SO034-1,SO034,2025-02-07,WH001,Item004,1000
SO035-1,SO035,2025-02-07,WH002,Item009,470
SO036-1,SO036,2025-02-10,WH002,Item008,100
SO037-1,SO037,2025-02-10,WH003,Item004,650
SO038-1,SO038,2025-02-10,WH001,Item001,590
SO039-1,SO039,2025-02-10,WH003,Item012,530
SO040-1,SO040,2025-02-10,WH003,Item013,420
SO041-1,SO041,2025-02-10,WH003,Item007,890
SO042-1,SO042,2025-02-10,WH003,Item013,510
SO043-1,SO043,2025-02-12,WH001,Item008,80
SO043-2,SO043,2025-02-12,WH003,Item012,410
SO043-3,SO043,2025-02-14,WH002,Item011,20
SO044-1,SO044,2025-02-16,WH001,Item011,860
SO045-1,SO045,2025-02-19,WH001,Item008,40
SO046-1,SO046,2025-02-19,WH002,Item006,370
SO047-1,SO047,2025-02-19,WH003,Item005,930
SO047-2,SO047,2025-02-20,WH001,Item004,890
SO048-1,SO048,2025-02-20,WH001,Item002,900
SO049-1,SO049,2025-02-20,WH001,Item007,200
SO050-1,SO050,2025-02-21,WH002,Item013,990
SO051-1,SO051,2025-02-21,WH002,Item006,150
SO052-1,SO052,2025-02-21,WH002,Item008,60
SO052-2,SO052,2025-02-21,WH001,Item002,950
SO053-1,SO053,2025-02-21,WH002,Item001,110
SO054-1,SO054,2025-02-21,WH002,Item003,920
SO055-1,SO055,2025-02-24,WH003,Item009,130
SO056-1,SO056,2025-02-24,WH002,Item004,750
SO057-1,SO057,2025-02-24,WH002,Item010,430
SO058-1,SO058,2025-02-24,WH002,Item006,90
SO059-1,SO059,2025-02-24,WH003,Item009,750
SO060-1,SO060,2025-02-24,WH003,Item007,710
SO061-1,SO061,2025-02-25,WH001,Item007,880
SO061-2,SO061,2025-02-25,WH003,Item013,230
SO062-1,SO062,2025-02-25,WH002,Item007,690
SO063-1,SO063,2025-02-27,WH002,Item001,360
SO064-1,SO064,2025-02-27,WH001,Item004,310
SO065-1,SO065,2025-02-27,WH003,Item008,460
SO066-1,SO066,2025-02-27,WH003,Item010,180
SO067-1,SO067,2025-02-27,WH003,Item011,940
SO068-1,SO068,2025-02-27,WH003,Item007,580
SO069-1,SO069,2025-02-27,WH001,Item014,590
SO070-1,SO070,2025-02-27,WH001,Item014,130
SO071-1,SO071,2025-02-27,WH002,Item003,530
SO072-1,SO072,2025-02-27,WH003,Item004,20
SO073-1,SO073,2025-03-02,WH001,Item013,510
SO074-1,SO074,2025-03-02,WH002,Item005,700
SO075-1,SO075,2025-03-02,WH002,Item013,30
SO076-1,SO076,2025-03-02,WH001,Item003,270
SO077-1,SO077,2025-03-02,WH002,Item012,400
SO078-1,SO078,2025-03-02,WH002,Item003,10
SO078-2,SO078,2025-03-02,WH001,Item013,670
SO079-1,SO079,2025-03-03,WH001,Item002,20
SO080-1,SO080,2025-03-03,WH001,Item012,620
SO081-1,SO081,2025-03-04,WH002,Item007,850
SO082-1,SO082,2025-03-07,WH002,Item014,330
SO083-1,SO083,2025-03-07,WH003,Item007,950
SO084-1,SO084,2025-03-07,WH003,Item014,130
SO085-1,SO085,2025-03-07,WH001,Item004,810
SO085-2,SO085,2025-03-09,WH001,Item014,90
SO086-1,SO086,2025-03-12,WH003,Item012,670
SO087-1,SO087,2025-03-12,WH001,Item014,160
